geolocation_city,geolocation_state,jumlah_customer,geolocation_lat,geolocation_lng
guararema,SP,11,-23.404915542335686,-46.04306997289354
ouroeste,SP,11,-20.00168960671946,-50.37528234976136
gravata,PE,11,-8.203693181724063,-35.568776550765534
rio brilhante,MS,11,-21.79842220216582,-54.54346342674206
rio das pedras,SP,11,-22.842321876787764,-47.60705361138728
dois corregos,SP,11,-22.368024597233408,-48.386261979222404
aracoiaba da serra,SP,11,-23.515283983306002,-47.61018378267268
raul soares,MG,11,-20.095874844538972,-42.44291346825205
raposos,MG,11,-19.966156003176412,-43.80531972631105
pompeu,MG,11,-19.224024396093256,-45.0002372431444
mata de sao joao,BA,11,-12.551106730441745,-38.132896950838855
triunfo,RS,11,-14.782279523526363,-42.80234905718773
tapiratiba,SP,11,-21.47249594003687,-46.74849920183369
itapipoca,CE,11,-3.4965615256945046,-39.576402871820015
portao,RS,10,-29.694204375791138,-51.233188774324205
campo formoso,BA,10,-10.504091563927071,-40.32610420270958
garibaldi,RS,10,-29.25390164551201,-51.52820815176132
fartura,SP,10,-23.388650818146584,-49.51065070949627
itai,SP,10,-23.418046558743534,-49.09104467317485
passa quatro,MG,10,-22.387188678365757,-44.96728626925755
mimoso do sul,ES,10,-21.061570668726116,-41.36296449402211
minacu,GO,10,-13.52855704116866,-48.22109587963254
aguai,SP,10,-22.056968661722404,-46.97611915060669
sao lourenco do oeste,SC,10,-26.36316326559933,-52.850665590498174
aimores,MG,10,-19.500415267687412,-41.07286145044401
aguas da prata,SP,10,-21.94008777133928,-46.71391248489887
brodowski,SP,10,-20.988926911431513,-47.654618703557226
itaberaba,BA,10,-12.526110203660092,-40.30795839512631
alta floresta,MT,10,-9.90209628377088,-56.14798246464171
salesopolis,SP,10,-23.531454479508646,-45.84898375245856
buri,SP,10,-23.799252900703568,-48.60001796917145
brejo santo,CE,10,-7.48940318775888,-38.98429194756268
catu,BA,10,-12.363840993783475,-38.38186888846312
dom pedrito,RS,10,-30.979123341411878,-54.66997677388248
sao joao,PR,10,-17.350785548731935,-44.54784849214609
sao joao batista,SC,10,-15.122384038602613,-46.83173263879726
auriflama,SP,10,-20.685083174259976,-50.55462075520381
itajobi,SP,10,-21.31499774715289,-49.055417305075984
paraiso do tocantins,TO,10,-10.174506533679002,-48.888445237183845
petrolandia,PE,10,-18.25066242600085,-43.954254764383776
urupes,SP,10,-21.204038586521552,-49.293054572622275
urussanga,SC,10,-28.523681116023674,-49.31843746844079
paranapanema,SP,10,-23.38877804716619,-48.73436604485557
paraibuna,SP,10,-23.39314863042592,-45.660762194770186
carpina,PE,10,-7.844454238512881,-35.25283839970195
sao goncalo do sapucai,MG,10,-21.812595997261347,-45.54772708041925
morro agudo,SP,10,-20.72828330325555,-48.05514852208202
palestina,SP,10,-15.030918002788392,-43.38226467345932
guarabira,PB,10,-6.85209256062919,-35.4909215116945
carmo do cajuru,MG,10,-20.235908654115896,-44.8004656926435
resplendor,MG,10,-19.32488535792776,-41.249234673200206
taguai,SP,10,-23.45353468486184,-49.40549224796595
biritiba-mirim,SP,10,-23.5745010796069,-46.040315566073
caetite,BA,10,-14.064001196267634,-42.4875876306961
julio de castilhos,RS,10,-29.23104676917138,-53.67851335397243
lagoa da prata,MG,10,-20.024064772425362,-45.537189813602396
campo verde,MT,10,-15.55075630136651,-55.17606019140091
rolante,RS,10,-29.64963363646582,-50.572926219838166
taua,CE,10,-6.001905413296545,-40.29321156760679
pradopolis,SP,10,-21.35993680296325,-48.07391298482993
regente feijo,SP,10,-22.22194575701773,-51.30343940995456
prata,MG,10,-13.501042279202874,-43.00310678854371
barcarena,PA,10,2.880710699000701,-44.471645103182695
canarana,MT,10,-12.629218500896961,-47.01933836270503
serra talhada,PE,10,-7.9885815707314745,-38.29555200867202
cambara,PR,10,-23.041547067984553,-50.07527867843522
eloi mendes,MG,10,-21.608502670027345,-45.566466693470225
antonina,PR,10,-25.43470443919635,-48.712753541824284
piracanjuba,GO,10,-17.30349906583519,-49.02636879088997
palotina,PR,10,-24.28579720485287,-53.837677556703355
planaltina,GO,10,-15.4633890840975,-47.6075014190269
querencia,MT,10,-12.569805405342088,-52.24977885628184
paicandu,PR,10,-23.479313313947323,-52.095415708390945
nova xavantina,MT,10,-14.66646434914308,-52.353931091841375
arraial dajuda,BA,10,-16.400187212609048,-39.26274691403601
caconde,SP,10,-21.528683722343338,-46.64505089436829
goiatuba,GO,10,-18.010414587983583,-49.379212135853756
caico,RN,10,-6.4641497837997495,-37.093593888778884
mostardas,RS,10,-31.102961069926018,-50.91340742099437
sombrio,SC,10,-29.108465252964574,-49.63523203121822
vera cruz,SP,10,-17.74337874488699,-44.100596142556135
corinto,MG,10,-18.365786615134013,-44.454401934788834
maravilha,SC,10,-18.000464482596403,-45.27171216478261
escada,PE,10,-8.366340905422762,-35.24120297027231
charqueada,SP,10,-22.511338452260038,-47.77588446279597
capinzal,SC,10,-27.3518641191639,-51.605806890565745
campina verde,MG,10,-19.53430181412056,-49.50209456509559
campina grande do sul,PR,10,-25.342398065900387,-49.086042958361304
juquia,SP,10,-24.316625385471756,-47.634745537475155
boa esperanca,MG,10,-20.188397322064866,-46.29191606519285
sao miguel do iguacu,PR,10,-25.353606599246387,-54.22950599854947
aracariguama,SP,9,-23.434370516019598,-47.06736198733114
porecatu,PR,9,-22.752396036051785,-51.37943479939363
pomerode,SC,9,-26.732885867295668,-49.170139485950855
tucano,BA,9,-10.999108695754336,-38.79048326366092
xinguara,PA,9,-7.092713472571894,-49.93397228167945
pau dos ferros,RN,9,-6.11306189477227,-38.20667004551809
xaxim,SC,9,-26.959436655053857,-52.53171511177201
rio de janeiro rio de janeiro brasil,RJ,9,-22.860376601769172,-43.255669827757195
buritama,SP,9,-21.067287508771535,-50.14440187114213
santa teresa,ES,9,-19.942770685273842,-40.60646958045139
itacare,BA,9,-14.278824078605842,-38.99458708384691
monte santo de minas,MG,9,-21.099070111084227,-46.89397960358021
santana,AP,9,-2.6300141646342707,-49.743860302756
piratininga,SP,9,-22.415824788216984,-49.14134682685572
braganca,PA,9,-1.0591690163111305,-46.7684589300373
nova ponte,MG,9,-19.3364369651837,-47.113221804399366
borborema,SP,9,-21.620786398855515,-49.074917989060566
arroio do meio,RS,9,-29.394875869959982,-51.945171165133004
santa cruz das palmeiras,SP,9,-21.82656001816575,-47.24871819241543
jequitinhonha,MG,9,-16.440336187363684,-41.009185123828935
guaranesia,MG,9,-21.301969203940768,-46.79344313786243
sao simao,SP,9,-20.571005175422425,-48.63423973065883
pinhalzinho,SC,9,-24.814337933983477,-49.788049666433
sumidouro,RJ,9,-22.055331228832138,-42.673564014326516
pedro de toledo,SP,9,-24.279033957085804,-47.235761825825534
santa branca,SP,9,-23.39928048418671,-45.88538560664444
goiana,PE,9,-14.54913995147362,-39.09915881077298
mar de espanha,MG,9,-21.865734998794125,-43.00312852835708
porto belo,SC,9,-27.15728166876613,-48.57004704358004
santa helena de goias,GO,9,-17.813130272653,-50.59644488893644
estancia,SE,9,-11.259774886615524,-37.43571407810774
pesqueira,PE,9,-8.36168493950807,-36.69857349963936
potirendaba,SP,9,-21.045033707741553,-49.37615780505847
santa helena,PR,9,-15.19109544031511,-47.97057367572813
russas,CE,9,-4.938637830671736,-37.97382628884966
sao joaquim,SC,9,-28.289186687862205,-49.93410075331146
piquete,SP,9,-22.60890713530282,-45.1833131511937
aracuai,MG,9,-16.882338803976648,-42.08993711129527
bom jesus da lapa,BA,9,-13.256014019878709,-43.409875811549746
cicero dantas,BA,9,-10.593072091897264,-38.384992888434375
ibia,MG,9,-19.515039180739823,-46.56160823512746
nepomuceno,MG,9,-21.236352172815856,-45.23626913181331
guaratuba,PR,9,-25.887866961664873,-48.58448614693002
arapoti,PR,9,-24.142597510300845,-49.82236722660047
siqueira campos,PR,9,-23.682446503474555,-49.82328699148567
herval doeste,SC,9,-27.173580626008164,-51.49262118869298
palmares,PE,9,-8.68031200519373,-35.58892050493797
tiangua,CE,9,-3.7257113521069507,-40.991608750382554
buritizeiro,MG,9,-17.364555680535215,-44.984647236468014
paraopeba,MG,9,-19.27857905090132,-44.40088546208934
rondon do para,PA,9,-4.772530697506351,-48.072662966501575
duartina,SP,9,-22.414792542149083,-49.41010846159248
macaubas,BA,9,-13.020323700819894,-42.69286729718252
morada nova,CE,9,-5.168464443385003,-38.42780947604457
cajuru,SP,9,-21.27443256482517,-47.30547622191414
alto paraiso de goias,GO,9,-14.139317335379074,-47.51689810696474
barra de sao francisco,ES,9,-18.748313722680667,-40.885885898230484
itamonte,MG,9,-22.285425563590607,-44.86708746307188
taruma,SP,9,-22.7489466206339,-50.578951684465736
faxinal,PR,9,-23.99871143453599,-51.323611356091064
mangueirinha,PR,9,-25.940474358861895,-52.17787723251204
lindoia,SP,9,-22.52341229265341,-46.64639741174917
sidrolandia,MS,9,-20.935281510237846,-54.963196579894685
santo amaro,BA,9,-7.52565499825001,-40.98011435546782
ibaiti,PR,9,-23.77463783578652,-50.209251072481045
schroeder,SC,9,-26.405445142724908,-49.074744844985375
crateus,CE,9,-5.178977553905794,-40.6676722014273
andira,PR,9,-23.04826806621512,-50.2306200176987
girua,RS,9,-28.029701451024163,-54.34991721201693
primavera,SP,9,-10.310569532106754,-43.95152824176483
rio paranaiba,MG,9,-19.43820649447644,-48.716078228413835
itapoa,SC,9,-26.07645076671277,-48.611132718734666
itaqui,RS,9,-29.132686047022414,-56.55202563098084
tapejara,RS,9,-25.901542770695322,-52.439101049735434
candeias,MG,9,-13.75423690048336,-39.45020849145719
camanducaia,MG,9,-22.75549974414299,-46.14001332890425
serafina correa,RS,9,-28.712770593572102,-51.93407780760516
santa juliana,MG,9,-19.31600396028638,-47.52829292656992
canaa dos carajas,PA,9,-6.525210475145853,-49.872794593454344
turmalina,MG,9,-18.676699279905797,-46.604164326116745
monte aprazivel,SP,9,-20.770002235308883,-49.711833620552895
conchas,SP,9,-23.019107243424635,-48.01092517102232
conceicao do coite,BA,9,-11.905327790538323,-39.105860744770254
mateus leme,MG,9,-19.99123842180006,-44.42872947177971
pontes e lacerda,MT,9,-15.235746482425006,-59.333280230440195
sao marcos,RS,9,-28.968928433226374,-51.06874599856591
abreu e lima,PE,9,-7.907583910534144,-34.90861487659287
vitoria,PR,8,-20.53372339836972,-40.80384904055661
pontal do parana,PR,8,-25.640064483362185,-48.42767049926185
santo antonio do jacinto,MG,8,-16.534602275326026,-40.19046460759673
mambore,PR,8,-24.314251507368123,-52.52911313719751
poco fundo,MG,8,-21.780150901757477,-45.967467696634145
camamu,BA,8,-13.949892230855664,-39.11166935758069
cananeia,SP,8,-25.009292746688903,-47.93195710361432
codo,MA,8,-4.461757206996403,-43.8915996078408
colider,MT,8,-10.804773825870669,-55.45771049615255
colina,SP,8,-20.71615282762481,-48.53525462335842
lambari,MG,8,-21.974223701500048,-45.349168217053055
rio acima,MG,8,-20.089910650795822,-43.789123418882596
capanema,PR,8,-6.0896717441100385,-48.50555166461067
palmeira dos indios,AL,8,-9.414557491349097,-36.63468999889986
baixo guandu,ES,8,-19.512568777088724,-41.012926255435566
porto nacional,TO,8,-10.705425521877858,-48.406267678182125
cajobi,SP,8,-20.877875377557153,-48.81096248940023
marilandia,ES,8,-19.412026310370646,-40.54293876855565
maracai,SP,8,-22.615059082577268,-50.66808209417246
orleans,SC,8,-28.357506793762706,-49.288673597165094
goias,GO,8,-15.938605999778817,-50.142780792093696
cambuci,RJ,8,-21.574416861817856,-41.911663806863615
goianira,GO,8,-16.51328325061693,-49.420950494453805
ortigueira,PR,8,-24.205572115297535,-50.933840621265624
nhandeara,SP,8,-20.69098214301291,-50.046761939752685
bilac,SP,8,-21.40261065132153,-50.47539635637737
correia pinto,SC,8,-27.584160958831593,-50.36622459794297
ico,CE,8,-6.400125364972757,-38.86025558900954
joao neiva,ES,8,-19.7510070097032,-40.38667300846462
nova londrina,PR,8,-22.763496600457717,-52.98829848487106
lauro muller,SC,8,-28.38824435989875,-49.407237961634365
astolfo dutra,MG,8,-21.314030738133884,-42.864233964033346
baependi,MG,8,-21.961660896718744,-44.88903628055419
cristalina,GO,8,-19.634284967147554,-51.1844744429723
sapezal,MT,8,-13.543400052390023,-58.80819185176762
ipira,BA,8,-19.780407593964494,-45.75783790976304
simonesia,MG,8,-20.110674250821898,-41.999729713013636
cocal,PI,8,-3.4703792660724604,-41.55482822863676
cidade ocidental,GO,8,-16.09914719008485,-47.93001558260213
papanduva,SC,8,-26.40493104975987,-50.1457709126807
ipiau,BA,8,-14.134256363320024,-39.73628797573608
nova europa,SP,8,-21.780472771981888,-48.56577873780284
coroata,MA,8,-4.129401649445521,-44.12654958605843
cristina,MG,8,-22.21042987201982,-45.2646508788708
nova esperanca,PR,8,-22.055743681594656,-48.69622197167583
ipaba,MG,8,-19.415825523070794,-42.41082528054917
penedo,AL,8,-16.36045024904806,-40.550133735168245
sao luis de montes belos,GO,8,-16.512880224214197,-50.37494301100561
camocim,CE,8,-2.9042495798412467,-40.846325303002686
fervedouro,MG,8,-20.72487631162102,-42.305273280395866
martinopolis,SP,8,-22.148084858468284,-51.16954949489018
afogados da ingazeira,PE,8,-7.759829833939791,-37.560205074371495
sao joaquim de bicas,MG,8,-20.053365700179633,-44.26097711552808
jandaia do sul,PR,8,-23.60223508623895,-51.644072483794396
santo augusto,RS,8,-27.85304797287884,-53.777970149174564
valparaiso,SP,8,-21.225948248423403,-50.866901593158474
dores de campos,MG,8,-21.109897644968864,-44.02336767935939
dourado,SP,8,-22.111603906846536,-48.314428984681655
perdizes,MG,8,-19.360654988886733,-47.28562643685491
jaguarao,RS,8,-32.56105729568267,-53.378113690387714
piranguinho,MG,8,-22.39447928412845,-45.54133645163208
pirangi,SP,8,-21.095628417437535,-48.66404771711195
mirai,MG,8,-21.193427607018222,-42.614449696492215
nova petropolis,RS,8,-29.375117732594422,-51.10823005629176
perdoes,MG,8,-21.096165638552552,-45.08823599152949
carmo do rio claro,MG,8,-20.971610978511645,-46.12132992617943
mutum,MG,8,-19.826182498347983,-41.43855366446426
muzambinho,MG,8,-21.368981491695624,-46.523156559190284
ecoporanga,ES,8,-18.36881608995012,-40.82597415326898
encruzilhada do sul,RS,8,-30.544711212440724,-52.52372179022532
anicuns,GO,8,-16.459840612028362,-49.96081462896285
pirapetinga,MG,8,-21.661382378379866,-42.349693185518994
ouricuri,PE,8,-7.887590132628159,-40.08427106445938
guara,SP,8,-18.123895058865443,-47.90994226737207
currais novos,RN,8,-6.259324714082862,-36.518752632087725
pinheiros,ES,8,-18.410899011847384,-40.219401752231356
brasilia de minas,MG,8,-16.215706428560953,-44.433944447941585
sao jose da lapa,MG,8,-19.707822627527648,-43.97312654875095
gama,DF,8,-16.016768361135686,-48.072015369630975
getulio vargas,RS,8,-27.88662962008021,-52.22847844606442
arroio dos ratos,RS,8,-30.0899206621461,-51.73152450330508
teotonio vilela,AL,8,-9.91132355428027,-36.35627070556906
angatuba,SP,8,-23.495630988076112,-48.40720315622438
alvares machado,SP,8,-22.07699368740586,-51.46756282500047
aripuana,MT,8,-10.185039835290205,-59.460581802148454
arinos,MG,8,-15.920350682439093,-46.10773503284158
ibatiba,ES,8,-20.233854705661063,-41.506817883423714
botelhos,MG,8,-21.648002330268397,-46.39978613617222
trajano de moraes,RJ,8,-22.065707657624642,-42.06975873031077
navirai,MS,8,-23.06107639693415,-54.20037679183215
bonito,MS,8,-10.73286009250702,-45.19850324441047
bom jardim de minas,MG,8,-21.94855498599183,-44.186545939437465
guaicara,SP,8,-21.62209955605368,-49.7959617756038
ribeira do pombal,BA,8,-10.855588015152298,-38.53647669595227
itaiopolis,SC,8,-26.34568104118662,-49.90830890118037
jacare,SP,8,-23.2831637647373,-46.29752132500832
cacu,GO,8,-18.561688015284723,-51.13519971806882
caetanopolis,MG,8,-19.303656393400818,-44.40952697159709
sao felix do xingu,PA,8,-6.693010896081553,-51.980997450589435
icem,SP,8,-20.34044521838111,-49.19827509378191
sao domingos do norte,ES,7,-19.138753324097504,-40.615545044821154
limoeiro,PE,7,-7.877711226236674,-35.44809501145188
sao cristovao,SE,7,-10.95947856556054,-37.151645485714575
ipanema,MG,7,-19.800222704580385,-41.71530616082554
cerro largo,RS,7,-28.146638263140144,-54.737891661227
ibira,SP,7,-21.08270714593196,-49.239534252796
avanhandava,SP,7,-21.4607100639242,-49.94644521887572
bayeux,PB,7,-7.130443520399652,-34.92533577148113
bom jesus,GO,7,-15.92609973288147,-45.19279578791435
horizontina,RS,7,-27.627277989445282,-54.31036031755507
bom conselho,PE,7,-9.176329291731035,-36.68004491131996
crixas,GO,7,-14.540576551279157,-49.96901725828049
bady bassitt,SP,7,-20.917115337770685,-49.45081883954136
potiragua,BA,7,-15.62923116778944,-39.795969813563566
sao gabriel do oeste,MS,7,-19.384053013667476,-54.57840194258982
rolim de moura,RO,7,-11.722454098877984,-61.77703628883976
lajedo,PE,7,-8.661327866132831,-36.32293402454861
pimenta bueno,RO,7,-11.687572920711828,-61.17124596903098
ervalia,MG,7,-20.84059414010997,-42.655599256881075
ibotirama,BA,7,-12.173954820936972,-43.21478059581289
santa maria madalena,RJ,7,-21.957658776793192,-42.00393542042645
imbituva,PR,7,-25.229677010502076,-50.603896895070974
itapuranga,GO,7,-15.560605178412759,-49.94714060919716
campo maior,PI,7,-4.830288661012602,-42.16987422607917
acailandia,MA,7,-4.945933764432744,-47.48449633404995
xangri-la,RS,7,-29.80369320644545,-50.04659871806158
ampere,PR,7,-25.91985831671865,-53.47434392960834
vila muriqui,RJ,7,-22.92131978426367,-43.92075713526868
campos belos,GO,7,-13.03716354927162,-46.769693978198795
porciuncula,RJ,7,-20.966705988175868,-42.04149743158904
acopiara,CE,7,-6.094117746073023,-39.44897848740864
campinorte,GO,7,-14.312747501518933,-49.15368762101759
piripiri,PI,7,-4.276353324093241,-41.778085846855895
acreuna,GO,7,-17.398332393161862,-50.373014769571675
sao jose do norte,RS,7,-31.964754042722465,-52.007117929659
conceicao do araguaia,PA,7,-8.258828967969176,-49.29806443493768
campanha,MG,7,-21.834793738633515,-45.40188042460609
comendador levy gasparian,RJ,7,-22.03394176340095,-43.212766283950224
santa rita do araguaia,GO,7,-17.31931964620719,-53.193994250646135
igarapava,SP,7,-20.04272970102337,-47.75051449522856
confresa,MT,7,-10.63429415830214,-51.576750870961995
balneario pinhal,RS,7,-30.243801490942474,-50.26317884150175
barra do corda,MA,7,-5.504495037749826,-45.24672365808475
rodeio,SC,7,-26.88932240353919,-49.35056297333393
montanha,ES,7,-18.13113299686834,-40.35711188194904
sao goncalo do amarante,RN,7,-5.282998246555868,-36.108461508343076
areado,MG,7,-21.358712062618185,-46.1449665979704
espumoso,RS,7,-28.730670471052086,-52.844475193036104
sao jeronimo,RS,7,-29.963285193390465,-51.71984109992491
arceburgo,MG,7,-21.364132750962657,-46.93989548487439
ubirata,PR,7,-24.542415289355326,-52.98976116432448
sao bento do sapucai,SP,7,-22.691052549132618,-45.71848783915089
cruzeiro do oeste,PR,7,-23.802145643807762,-53.029694743706514
cruz,CE,7,-2.9010007452282274,-40.24413392450159
silvania,GO,7,-16.664838379896693,-48.61117277481365
simao dias,SE,7,-10.740552873132728,-37.806857157301685
pinhao,PR,7,-20.652086664061596,-47.01456709479512
ruy barbosa,BA,7,-9.080947362522284,-38.2169042201008
malacacheta,MG,7,-17.847697697027982,-42.0808485867346
paco do lumiar,MA,7,-2.532493843274056,-44.16157841476528
dianopolis,TO,7,-11.627033763785315,-46.8215469964229
ribeirao bonito,SP,7,-22.081623849526718,-48.220362384178166
luis antonio,SP,7,-21.55425425078896,-47.701861968009545
santa albertina,SP,7,-20.030298091246614,-50.72841136849298
cafelandia,SP,7,-23.212630099995707,-51.462305504267505
sao raimundo nonato,PI,7,-9.014476907770096,-42.69139823837441
itaguacu,ES,7,-18.857978561562504,-45.40618942461962
ivaipora,PR,7,-24.246396881737038,-51.67066762921262
cachoeira de minas,MG,7,-22.355813970805112,-45.78233456696949
jaguarari,BA,7,-10.298213560975574,-40.17176876217897
pirai do sul,PR,7,-24.53385608366247,-49.939370262890066
areal,RJ,7,-22.243707999292415,-43.09854917159979
brasopolis,MG,7,-22.478535643061456,-45.617941318817806
presidente getulio,SC,7,-27.050238879786896,-49.62755144977645
ceu azul,PR,7,-25.147087829716437,-53.85009652876607
chapadao do ceu,GO,7,-18.39733282966265,-52.662564788057274
inhapim,MG,7,-19.546635831295777,-42.112670848873115
inhambupe,BA,7,-11.788063884310118,-38.35536601172614
general salgado,SP,7,-20.64696405474457,-50.36256371267587
ipaussu,SP,7,-23.055151680595838,-49.62719098425695
itapage,CE,7,-3.6873325423106107,-39.58357917958479
vera cruz,BA,7,-17.74337874488699,-44.100596142556135
teixeiras,MG,7,-20.653805126045775,-42.85515453493235
mucuri,BA,7,-18.071603357754014,-39.56837083080777
jaragua,GO,7,-15.7491870749417,-49.33210533214989
itabera,SP,7,-23.865231195169468,-49.140922471000636
ceres,GO,7,-15.303639303509014,-49.60722003897494
neropolis,GO,7,-16.405922323480205,-49.221319687063634
terra rica,PR,7,-22.72482408621595,-52.62259347387968
quedas do iguacu,PR,7,-25.45540767476729,-52.91314803872301
itamarandiba,MG,7,-17.860280171639676,-42.86198587095291
tocantinopolis,TO,7,-6.325757558052025,-47.43089957828529
sousa,PB,7,-6.763957642711228,-38.23157048480957
madre de deus,BA,7,-12.741679313725754,-38.613481836600386
missal,PR,7,-25.092280977590956,-54.24220554511303
timbauba,PE,7,-7.511929938098343,-35.31684951447656
morro do chapeu,BA,7,-11.548025813188568,-41.15916631362808
morungaba,SP,7,-22.875938478414557,-46.793434706878294
casca,RS,7,-28.56573083286525,-51.974619453032226
catende,PE,7,-8.66542534670664,-35.726036765833456
guaira,PR,7,-22.205867326234323,-51.28565815143929
cabedelo,PB,7,-7.024220657316154,-34.88782772788011
santo cristo,RS,7,-27.82626472010779,-54.66498504924796
divinolandia,SP,7,-21.661406822890473,-46.73662296127121
bela vista de goias,GO,7,-16.97074863211508,-48.950997445700146
virginopolis,MG,7,-18.813867941106725,-42.70136228778343
sao joao dos patos,MA,7,-6.497455089795662,-43.701512508828564
aparecida do taboado,MS,7,-20.080651275371537,-51.10642297448527
sao joao evangelista,MG,7,-18.546168147952585,-42.76559239874276
rubiataba,GO,7,-15.163985855096604,-49.80376085496956
nova russas,CE,7,-4.7085259993750315,-40.55730268868141
lagoa formosa,MG,7,-18.77618044480129,-46.404217247384295
campo ere,SC,7,-26.39536028245974,-53.080448080969894
itapui,SP,7,-22.234558579647267,-48.721835002175304
prudentopolis,PR,7,-25.21513981049956,-50.98763401109219
passo de torres,SC,7,-29.315305255958787,-49.720961505227535
piedade de caratinga,MG,7,-19.7601647723446,-42.075565277025554
marmeleiro,PR,7,-26.14973579423784,-53.02966720898468
alto do rodrigues,RN,7,-5.294882466955311,-36.75812276543539
vila valerio,ES,7,-18.994923624409637,-40.383087196982125
tapes,RS,6,-30.67407284892654,-51.39790575071823
alfredo chaves,ES,6,-20.627031870241968,-40.74931056937235
medeiros neto,BA,6,-17.375406123452056,-40.22236401991968
medina,MG,6,-16.227412654546985,-41.47835277276773
camapua,MS,6,-19.534726911066016,-54.04240605753879
tangua,RJ,6,-22.735218709428022,-42.727847609078914
tupi paulista,SP,6,-21.385866861981842,-51.573633973535884
bananal,SP,6,-22.683450551227974,-44.318917933330425
colorado,PR,6,-25.67968822277233,-52.48311267463657
abelardo luz,SC,6,-26.565375356044346,-52.32532803924757
aguas belas,PE,6,-9.108812539014634,-37.117020266836576
alpinopolis,MG,6,-20.858669988986815,-46.3868959952482
sales oliveira,SP,6,-20.767627103434553,-47.84072787580174
acarau,CE,6,-2.8902381436643245,-40.110782071834926
tocantins,MG,6,-21.1726252218232,-43.02193282223309
apiaca,ES,6,-21.153323461585163,-41.56743108039142
apiai,SP,6,-24.5103902774688,-48.84405829786659
apiuna,SC,6,-27.03913714021548,-49.387627154204594
guapiacu,SP,6,-20.79454306878388,-49.224623059021205
butia,RS,6,-30.11987672785401,-51.96254104620899
jacunda,PA,6,-4.450475687361891,-49.11559572959484
cardoso moreira,RJ,6,-21.492932392812843,-41.615142419292205
nova prata do iguacu,PR,6,-25.635752110869912,-53.34729247755231
guapo,GO,6,-16.836710815613895,-49.53609910657
gravatal,SC,6,-28.328525261018964,-49.049950172418896
irapuru,SP,6,-21.567726660682457,-51.351473550151816
cardoso,SP,6,-20.080941806166795,-49.91269317703499
carlopolis,PR,6,-23.42771464779158,-49.71815635045274
itaipulandia,PR,6,-25.147980629391814,-54.30365145115528
carmo da mata,MG,6,-20.55966811821635,-44.86917286484877
carai,MG,6,-17.18743056986159,-41.697403090797735
santa cecilia,SC,6,-17.35221463766281,-43.15087354452513
sao joao do piaui,PI,6,-8.230289599585232,-42.25228928955357
eldorado,SP,6,-24.15328885295462,-51.19461082341426
dores do indaia,MG,6,-19.466534517809865,-45.6005195139431
cassia,MG,6,-20.582930704896818,-46.9221356375289
catanduvas,SC,6,-26.138018661815508,-52.40680600308017
itaberai,GO,6,-16.023821140278326,-49.80035638517965
piratuba,SC,6,-27.420999300127587,-51.775171480099665
quixeramobim,CE,6,-5.198700104551449,-39.29377385907465
realeza,PR,6,-23.005155196890332,-47.84029405259113
reboucas,PR,6,-25.62322979853165,-50.69335042293026
morro da fumaca,SC,6,-28.651461411045457,-49.210957717791
casa nova,BA,6,-9.177388079834074,-40.98130297583368
rio branco do sul,PR,6,-25.180768393805682,-49.31657303541073
rio das flores,RJ,6,-22.167450983183613,-43.58379149561636
pinhalao,PR,6,-23.78967571984096,-50.058695203268186
nova trento,SC,6,-27.28299944363184,-48.93077294776362
mallet,PR,6,-25.883903118459568,-50.82702616356368
mamanguape,PB,6,-6.837168594957803,-35.12688719306731
engenheiro paulo de frontin,RJ,6,-22.537265002139407,-43.665799223424436
entre rios,BA,6,-19.335143620384333,-45.321042789855134
entre rios de minas,MG,6,-20.67110481067536,-44.06587180143238
esperanca,PB,6,-7.018672399492172,-35.859303897935085
valente,BA,6,-11.410907884755225,-39.462797775734366
jeremoabo,BA,6,-9.953805521582453,-38.671436551420435
sao sepe,RS,6,-30.164971760723827,-53.57036133724413
guarani,MG,6,-21.35615246227957,-43.04869152191265
uruara,PA,6,-3.7202778344734795,-53.73974164226498
trancoso,BA,6,-16.58182674915274,-39.136344626899096
ipora do oeste,SC,6,-26.987999188007993,-53.53230099043113
cedral,SP,6,-11.451689696533345,-46.902222388495694
itambacuri,MG,6,-18.037609416886355,-41.68236820339726
nao-me-toque,RS,6,-28.46111701460003,-52.81932731120382
mozarlandia,GO,6,-14.751273938437228,-50.56816461230509
cabreuva,SP,6,-23.272925280139958,-47.0846305931781
cabrobo,PE,6,-8.506721376676866,-39.309094429333996
cachoeira alta,GO,6,-18.73111677835222,-50.95508760157414
sao jose da barra,MG,6,-20.7155295833812,-46.31660004625635
catigua,SP,6,-21.05239268704112,-49.05981951184296
catole do rocha,PB,6,-6.354803150332728,-37.721572491346556
presidente bernardes,SP,6,-21.388865411719763,-47.36973076724701
pacaembu,SP,6,-21.563059536640434,-51.263332875206835
pacaja,PA,6,-3.815264666681339,-50.61876737410132
pacajus,CE,6,-4.175669333979667,-38.46376761942315
sao goncalo do rio abaixo,MG,6,-19.80511275589166,-43.4412431614133
esplanada,BA,6,-11.797063477493758,-37.947646687658995
caninde,CE,6,-4.3559287899539,-39.314376212285076
itaobim,MG,6,-16.558301879745645,-41.503188943156474
taquaritinga do norte,PE,6,-7.910858713164717,-36.07161879922118
espigao do oeste,RO,6,-11.52662041605006,-61.014742629135874
seabra,BA,6,-12.419056280766661,-41.77211221180393
seara,SC,6,-27.160802125766637,-52.31539991047458
parapua,SP,6,-21.78166536507636,-50.79155691581234
